1 input_baseline.asc: UAV Cruise and Target Attack ' UAV ' Apr 20 2022 23:45:25
  0  0 48
time            FSPV1           FSPV2           FSPV3           pdynmc          
mach            lonx            latx            alt             dvbe            
psivgx          thtvgx          SBEG1           SBEG2           SBEG3           
VBEG1           VBEG2           VBEG3           mprop           cg              
thrust          cl_ov_cd        psivgcx         thtvgcx         anx             
avx             alphax          phimvx          phicx           phix            
qq              tip             alp             ancomx          alcomx          
alx             altd            altcom          wp_grdrange     wp_flag         
range_go        STBG1           STBG2           STBG3           time_go         
psisbx          thtsbx          mtargeting      
1676.68         5.60056         90              0               1.98422         
0               15              -57.2784        -57.7225        -57.2784        
0.697385        2.85339         1.29374         2.36767         -1              
-1.68565        0.54887         7000            23529.3         0               
0               0               0               0               0               
0               0               0               
5               -1.78964        -16.4992        -10.5408        11063.8         
0.619952        14.711          35.4014         6989.16         193.535         
68.6494         0.211794        159.019         979.363         10.8433         
70.4605         180.251         -0.715399       6               133.675         
1676.69         5.615           90              0               1.97739         
0               15              -57.4761        -57.9216        -57.4761        
0.708525        2.85836         1.34288         2.34164         -1              
-1.68389        0.715399        7000            23503.9         0               
0               0               0               0               0               
0               0               0               
5.2             -1.7696         -16.482         -10.4498        11023.5         
0.618829        14.7114         35.4016         6989.31         193.184         
67.6737         0.256059        173.404         1015.26         10.6851         
73.3861         178.7           -0.86335        6               133.676         
1676.7          5.62945         90              0               1.97061         
0               15              -57.6744        -58.1208        -57.6744        
0.719229        2.86333         1.39093         2.31713         -1              
-1.68214        0.86335         7000            23478.2         0               
0               0               0               0               0               
0               0               0               
5.4             -1.74974        -16.4648        -10.3591        10983.5         
0.617713        14.7118         35.4017         6989.5          192.836         
66.6973         0.294992        188.371         1050.84         10.4992         
76.2827         177.104         -0.992828       6               133.676         
1676.71         5.6439          90              0               1.96388         
0               15              -57.8729        -58.3199        -57.8729        
0.729584        2.86828         1.43793         2.29435         -1              
-1.68038        0.992828        7000            23452           0               
0               0               0               0               0               
0               0               0               
5.6             -1.73008        -16.4476        -10.2689        10943.9         
0.616606        14.7122         35.4018         6989.71         192.49          
65.7201         0.328599        203.915         1086.1          10.2893         
79.1496         175.461         -1.10395        6               133.676         
1676.72         5.65835         90              0               1.9572          
0               15              -58.0716        -58.5188        -58.0716        
0.739683        2.87323         1.48388         2.27351         -1              
-1.67863        1.10395         7000            23425.4         0               
0               0               0               0               0               
0               0               0               
5.8             -1.71061        -16.4305        -10.1791        10904.6         
0.615508        14.7126         35.402          6989.94         192.148         
64.7422         0.356889        220.029         1121.02         10.0589         
81.9862         173.774         -1.19686        6               133.676         
1676.73         5.67277         90              0               1.95058         
0               15              -58.2703        -58.7173        -58.2703        
0.74963         2.87816         1.52882         2.25481         -1              
-1.67688        1.19686         7000            23398.5         0               
0               0               0               0               0               
0               0               0               
6               -1.69136        -16.4134        -10.09          10865.7         
0.61442         14.7129         35.4021         6990.19         191.808         
63.7636         0.379874        236.707         1155.6          9.81176         
84.7917         172.043         -1.27168        6               133.677         
1676.74         5.68718         90              0               1.94402         
0               15              -58.4689        -58.9153        -58.4689        
0.759539        2.88307         1.57283         2.23846         -1              
-1.67514        1.27168         7000            23371.2         0               
0               0               0               0               0               
0               0               0               
6.2             -1.67232        -16.3963        -10.0014        10827.2         
0.613341        14.7133         35.4023         6990.45         191.471         
62.7842         0.39757         253.943         1189.84         9.55145         
87.5657         170.269         -1.32859        6               133.677         
1676.75         5.70156         90              0               1.93752         
0               15              -58.6671        -59.1128        -58.6671        
0.769531        2.88796         1.61597         2.22467         -1              
-1.67339        1.32859         7000            23343.4         0               
0               0               0               0               0               
0               0               0               
6.4             -1.6535         -16.3793        -9.91355        10789           
0.612272        14.7137         35.4024         6990.72         191.137         
61.8042         0.409997        271.731         1223.71         9.28154         
90.3074         168.452         -1.36773        6               133.677         
1676.76         5.7159          90              0               1.93109         
0               15              -58.865         -59.3095        -58.865         
0.779739        2.89282         1.65834         2.21367         -1              
-1.67165        1.36773         7000            23315.4         0               
0               0               0               0               0               
0               0               0               
6.6             -1.63492        -16.3623        -9.8264         10751.4         
0.611213        14.7141         35.4026         6990.99         190.807         
60.8234         0.417178        290.064         1257.21         9.00557         
93.0163         166.593         -1.38927        6               133.678         
1676.77         5.7302          90              0               1.92473         
0               15              -59.0623        -59.5054        -59.0623        
0.790304        2.89766         1.70006         2.20566         -1              
-1.66992        1.38927         7000            23286.9         0               
0               0               0               0               0               
0               0               0               
6.8             -1.61657        -16.3454        -9.74001        10714.1         
0.610166        14.7144         35.4028         6991.27         190.48          
59.842          0.419138        308.935         1290.34         8.72703         
95.6919         164.693         -1.39341        6               133.678         
1676.78         5.74445         90              0               1.91845         
0               15              -59.2589        -59.7003        -59.2589        
0.801377        2.90247         1.74126         2.20086         -1              
-1.6682         1.39341         7000            23258.1         0               
0               0               0               0               0               
0               0               0               
7               -1.59847        -16.3285        -9.65443        10677.3         
0.60913         14.7148         35.4029         6991.55         190.156         
58.8599         0.415908        328.339         1323.09         8.44939         
98.3335         162.751         -1.38033        6               133.678         
1676.79         5.75864         90              0               1.91223         
0               15              -59.4547        -59.8942        -59.4547        
0.81312         2.90723         1.78211         2.19949         -1              
-1.66648        1.38033         7000            23229           0               
0               0               0               0               0               
0               0               0               
7.2             -1.58062        -16.3118        -9.56971        10641.1         
0.608105        14.7151         35.4031         6991.82         189.837         
57.8771         0.407519        348.266         1355.44         8.17607         
100.941         160.77          -1.35021        6               133.679         
1676.8          5.77276         90              0               1.9061          
0               15              -59.6495        -60.0868        -59.6495        
0.825705        2.91196         1.82278         2.20178         -1              
-1.66477        1.35021         7000            23199.5         0               
0               0               0               0               0               
0               0               0               
7.4             -1.56303        -16.2951        -9.48589        10605.3         
0.607093        14.7155         35.4033         6992.09         189.521         
56.8937         0.394008        368.712         1387.39         7.91046         
103.513         158.75          -1.30327        6               133.679         
1676.81         5.78681         90              0               1.90005         
0               15              -59.8433        -60.278         -59.8433        
0.839312        2.91665         1.86348         2.20793         -1              
-1.66307        1.30327         7000            23169.7         0               
0               0               0               0               0               
0               0               0               
7.6             -1.54571        -16.2786        -9.40302        10570           
0.606093        14.7158         35.4035         6992.34         189.209         
55.9097         0.375412        389.669         1418.94         7.6559          
106.049         156.691         -1.23972        6               133.679         
